0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"(912.9911183574033, 1039.6252759724077)","(913.000053031565, 1039.6054857514582)","(913.0197922108944, 1039.5662771427199)","(913.0174682668026, 1039.53008902787)","(913.0471641796772, 1039.5709472076749)","(912.9907924463145, 1039.472705530866)","(912.9784450466311, 1039.5761992977762)","(912.9900571302555, 1039.5732025550706)","(912.9815714245457, 1039.5218621322433)","(912.9650009432398, 1039.5535670321894)","(912.9522521755409, 1039.5223512496198)","(913.0114823968272, 1039.5075547447107)","(912.9827406334474, 1039.5355179532544)","(912.9141625916598, 1039.4814746715035)","(912.9930017728179, 1039.615853801582)","(912.9692967798991, 1039.6186901524216)","(912.9789559844249, 1039.5202321760676)","(912.9771429684937, 1039.3982708239307)","(912.9789735294272, 1039.5430652260256)","(912.9673154282355, 1039.558617952132)","(912.9594034889551, 1039.5331386643632)"
"(1015.0714221280423, 1225.8775535987265)","(1015.0763067199096, 1225.8814712129004)","(1015.028151522332, 1225.9195552078536)","(1015.0235747996568, 1225.8661212842583)","(1014.9917847828129, 1225.9214011466975)","(1014.9516729034224, 1225.8737146330761)","(1014.9768205728208, 1225.8807927851303)","(1014.9812259075186, 1225.961027977964)","(1014.9067740020622, 1225.8588712915302)","(1014.9672121402015, 1225.9351265793275)","(1014.9124242638572, 1225.870529478388)","(1014.9962829391293, 1225.853543631323)","(1014.9336366383438, 1225.8535846077757)","(1014.8960546813838, 1225.8518701682965)","(1014.9323895976833, 1225.9923036718499)","(1014.9426102613565, 1226.0101613137647)","(1014.9370303718615, 1225.8799802684448)","(1014.9426334488732, 1225.6982368506056)","(1014.9520586390028, 1225.9123437491469)","(1014.9188279337305, 1225.884133993455)","(1014.9315103028, 1225.8670529402393)"
"(1226.5838606863872, 1231.3448755719994)","(1226.5725654629932, 1231.370392767201)","(1226.558657932991, 1231.3360048090021)","(1226.507229306521, 1231.313257492229)","(1226.4907014189473, 1231.3575969163558)","(1226.445643223802, 1231.336111257945)","(1226.4702772531934, 1231.3758790000095)","(1226.4930432818958, 1231.3915476893399)","(1226.4485939687904, 1231.329573815569)","(1226.4581132612168, 1231.379192085171)","(1226.434512155598, 1231.3186472611858)","(1226.4509100060566, 1231.3208363145363)","(1226.4632101202828, 1231.359241044687)","(1226.3936494535158, 1231.3328578758897)","(1226.4399643237964, 1231.4415372792153)","(1226.4622295006066, 1231.4583266517288)","(1226.4117931343203, 1231.3576378431565)","(1226.40585936317, 1231.2119652492386)","(1226.446619328831, 1231.351415185562)","(1226.4207330894867, 1231.3350788156529)","(1226.420054176205, 1231.3172932669413)"
"(906.2665236925301, 1404.499711199965)","(906.2565139811469, 1404.48152523255)","(906.2927496631762, 1404.4718197058642)","(906.2172657178866, 1404.423352024024)","(906.2085960107588, 1404.4539064789012)","(906.209782352252, 1404.3570082003846)","(906.2592720776693, 1404.388744850494)","(906.264830525914, 1404.4350733795363)","(906.2339195133292, 1404.3318917220993)","(906.2485761097251, 1404.3914504117438)","(906.2098833947161, 1404.3433463496401)","(906.296343232307, 1404.3223198923056)","(906.2143584329822, 1404.3368035014103)","(906.1450392985447, 1404.2904886197073)","(906.2284798234383, 1404.452030420206)","(906.2275691324792, 1404.4656909280422)","(906.2210025406677, 1404.324298784495)","(906.2280348467481, 1404.1442407120612)","(906.2308030152107, 1404.3403213935114)","(906.1910411033516, 1404.3550981402318)","(906.1762705799749, 1404.344026117838)"
"(695.627709993098, 1396.9382935281028)","(695.6469735506793, 1396.928325467239)","(695.6438372707321, 1396.9446572270824)","(695.6636861195446, 1396.8665245902828)","(695.6672821165524, 1396.894519821462)","(695.6372882353897, 1396.8562830175829)","(695.6633516225158, 1396.8693758713557)","(695.6442323825631, 1396.9307794809629)","(695.5996435042522, 1396.8620099289826)","(695.6321623805682, 1396.8856450004266)","(695.6236217046464, 1396.8583864401542)","(695.6521572996537, 1396.855500979247)","(695.6093835013422, 1396.8562371478101)","(695.5771100250744, 1396.8418047765738)","(695.6047335563125, 1396.9410192428)","(695.6272076232145, 1396.942463888266)","(695.6102366179932, 1396.8492404220478)","(695.6114820504941, 1396.7394989352176)","(695.6226802966223, 1396.8840431595092)","(695.6001459640125, 1396.8690149776626)","(695.5946957543438, 1396.8333167980618)"
"(1123.904358850599, 1046.1496011919307)","(1123.888229784309, 1046.1605374087508)","(1123.7930664044336, 1046.2268783073666)","(1123.9740952589834, 1046.0167214884373)","(1123.957021595913, 1046.0204695922491)","(1123.9631270434897, 1045.9804813453966)","(1123.9522968300944, 1046.0269490764365)","(1123.9650850505398, 1046.0488592365327)","(1123.9321446306558, 1046.0020450764919)","(1123.9064042419668, 1046.0536160084976)","(1123.9256713822692, 1046.009367218372)","(1123.967529669762, 1046.0023337099815)","(1123.9328713131526, 1045.9862394415857)","(1123.8551273971905, 1045.9879685390706)","(1123.9089681492637, 1046.1130206973678)","(1123.923655610421, 1046.1443863459967)","(1123.9051854743468, 1045.9919611180624)","(1123.9139047978686, 1045.850436975483)","(1123.9517917435119, 1046.0043383998104)","(1123.8788668548673, 1046.0405135759459)","(1123.890269407483, 1046.0090648618332)"
"(1024.6617695278626, 859.747186567429)","(1024.6734457975028, 859.7258498657543)","(1024.693733126721, 859.7627108920216)","(1024.6323775585124, 859.662993078812)","(1024.6670011307006, 859.7145576564837)","(1024.6659502751954, 859.6519731656118)","(1024.657311855799, 859.700140065839)","(1024.6520143722266, 859.7086909569497)","(1024.6154263713825, 859.654762855462)","(1024.6197863897698, 859.713224441782)","(1024.6495124028793, 859.6609792842999)","(1024.6644893352486, 859.6867367097046)","(1024.5872629261655, 859.6619837136188)","(1024.531626846051, 859.6122358978471)","(1024.6301218981018, 859.759855224522)","(1024.6623032817322, 859.7557043708217)","(1024.639744716062, 859.647510221854)","(1024.6608708488147, 859.5235123999895)","(1024.6310741610048, 859.6742521167399)","(1024.6344788461997, 859.639219855166)","(1024.651568988811, 859.655865539614)"
"(1134.6380586133348, 681.4503159942622)","(1134.6649161614398, 681.4468589306119)","(1134.6480503696703, 681.4673208792649)","(1134.6786675151077, 681.3541663142001)","(1134.67456444709, 681.3777411573566)","(1134.6998231012788, 681.3518095991724)","(1134.683777807231, 681.3936972767524)","(1134.6782460390566, 681.416408787041)","(1134.681037177744, 681.3705041258069)","(1134.6752666888804, 681.4092109987716)","(1134.657780550462, 681.408676132536)","(1134.6783683055517, 681.4002249077656)","(1134.6838411130348, 681.3449875049878)","(1134.6431471708784, 681.3245472496563)","(1134.6854671891895, 681.4117470488662)","(1134.720182431986, 681.4255620829642)","(1134.7018370910619, 681.3618784321709)","(1134.714323173864, 681.2786510394053)","(1134.7249904653993, 681.3898919781171)","(1134.67626546436, 681.3629325876492)","(1134.6952794554875, 681.4210897167491)"
"(1248.28951608004, 503.5798703630649)","(1248.2865799461188, 503.55599076956867)","(1248.2536425181981, 503.5636820400096)","(1248.3045084945024, 503.4995199136577)","(1248.2609177700845, 503.5572511751122)","(1248.2715333211713, 503.5423396029146)","(1248.2895575306313, 503.5268504509536)","(1248.302436638288, 503.57505651857815)","(1248.2709659189156, 503.51626760155676)","(1248.2656874526779, 503.5582694303809)","(1248.2611992113605, 503.52723755730653)","(1248.292263508083, 503.53857158586635)","(1248.2656880411678, 503.5501852035782)","(1248.2576481275105, 503.52263905712596)","(1248.263312368328, 503.5805059670863)","(1248.2844705143602, 503.59073405401716)","(1248.250595858239, 503.54209262193723)","(1248.2951604014822, 503.52945593618836)","(1248.2859351467803, 503.5239142356349)","(1248.2317733099683, 503.5587944743672)","(1248.294651999891, 503.52473970600056)"
"(1117.2048320003669, 1412.7807233920144)","(1117.2317253314066, 1412.7598369755701)","(1117.2462043914563, 1412.7697369819382)","(1117.2156401233328, 1412.6708177609985)","(1117.198586555551, 1412.7131927940122)","(1117.2106785315116, 1412.6525442578225)","(1117.1883081578371, 1412.7202010215308)","(1117.1803871001814, 1412.7422579792828)","(1117.1306195983152, 1412.696129943108)","(1117.150305606223, 1412.7557283420347)","(1117.1157164603374, 1412.670948842644)","(1117.181619641486, 1412.6838028770708)","(1117.1334899200936, 1412.6786060961867)","(1117.0750303862133, 1412.6623353625666)","(1117.1128583069537, 1412.7888386507964)","(1117.1546631049468, 1412.8160323978393)","(1117.1481053412415, 1412.671960426638)","(1117.1847872597664, 1412.5268756310645)","(1117.161844720927, 1412.6909305539698)","(1117.13391001759, 1412.7031891782854)","(1117.1535806793843, 1412.6607233808766)"
