a	b	c	d	e
1.0121461377758205e-05	-0.005641712132614898	-2.0110210556843765e-07	-3.2240531579252217e-06	-0.09449544776080278
1.0122774220149695e-05	-0.005642369852910134	-2.0107746364790514e-07	-3.223960187583759e-06	-0.09447677870179327
1.0122675427178048e-05	-0.005642373825395926	-2.010786398832067e-07	-3.2238277218545436e-06	-0.09445960549772897
1.0121570051652153e-05	-0.005641494810164953	-2.0128393313169527e-07	-3.2240074998051024e-06	-0.09449374080723484
1.0121117797673361e-05	-0.005641287504647767	-2.0124817533670627e-07	-3.2239519659690236e-06	-0.0944803673493471
1.0122245916500131e-05	-0.0056417647716631505	-2.0150926628877253e-07	-3.2243191419918824e-06	-0.09449039155572635
1.0121285280874777e-05	-0.005641348731968	-2.0131678621053853e-07	-3.2242917857039834e-06	-0.09451081536026804
1.0121292715768767e-05	-0.005641419677241658	-2.0125890787215472e-07	-3.224115593193656e-06	-0.09449833564086699
1.0121345120869283e-05	-0.005641344931095489	-2.015338640169399e-07	-3.2244693089206344e-06	-0.09451596235675275
1.0121967210134812e-05	-0.0056416788898584185	-2.0135538604847296e-07	-3.224188920372798e-06	-0.09450150935514316
1.0121598323659518e-05	-0.005641453147484477	-2.0160698468124934e-07	-3.224455497663744e-06	-0.09451652459846319
1.0122480747501994e-05	-0.005641833531691269	-2.0125181496464633e-07	-3.2241112617143574e-06	-0.09450506933881596
1.0122084811441836e-05	-0.005641704968961501	-2.0159933362824933e-07	-3.2245400558779724e-06	-0.09451334554817052
1.0122855268745817e-05	-0.005642119625002923	-2.01947405747622e-07	-3.2247635143788114e-06	-0.09449490483586225
1.0120737156996812e-05	-0.005641130153569428	-2.013287592074207e-07	-3.224374244870948e-06	-0.094520194850838
1.0121317510462494e-05	-0.005641460280917544	-2.0135978520572444e-07	-3.2242043257943063e-06	-0.09449512067635006
1.0122191023534798e-05	-0.005641666198295967	-2.015718340701677e-07	-3.2243762384777338e-06	-0.09449644278361836
1.0121842962338834e-05	-0.00564124428961557	-2.018020880939851e-07	-3.224909387991526e-06	-0.09454474912122238
1.0121402232780363e-05	-0.0056412968822413525	-2.014952295151987e-07	-3.224256349729441e-06	-0.09449596726463624
1.0121347846629862e-05	-0.005641286809541683	-2.0153848643161512e-07	-3.224606039352392e-06	-0.09451996813791937
1.0121840298134818e-05	-0.005641511169295726	-2.016749756307255e-07	-3.2246108702239066e-06	-0.09452393860797811
