a	b	c	d	e
8.967475550880044e-06	-0.0074099647225247785	-9.679897394009548e-08	-4.351487619421284e-07	0.2463961870842863
8.967647651372945e-06	-0.007410054941764529	-9.680140690765278e-08	-4.3568758479165365e-07	0.24636907415749829
8.968594296158203e-06	-0.007410580040418451	-9.674609511688737e-08	-4.354107169866e-07	0.24639728263975907
8.968769256532473e-06	-0.0074106599054225755	-9.68678897567168e-08	-4.3570641726394426e-07	0.24631172676154578
8.96896203274052e-06	-0.0074107735636636364	-9.680740616981733e-08	-4.356116898918118e-07	0.24634514404609678
8.969418327764922e-06	-0.0074110272874400515	-9.696896239101347e-08	-4.361323624506403e-07	0.24629493474475758
8.969382300660264e-06	-0.007411074584012391	-9.686069173790887e-08	-4.355995079554843e-07	0.24636027456136553
8.968542432720573e-06	-0.007410589841095954	-9.67857025402363e-08	-4.3532330872895734e-07	0.24640139955003934
8.969702470894635e-06	-0.007411253788207809	-9.694866831617108e-08	-4.3573688331203045e-07	0.24634258493548383
8.970348174050096e-06	-0.007411599474801035	-9.687567128712424e-08	-4.356533985238649e-07	0.24635778890506657
8.970995262074654e-06	-0.0074120038101050355	-9.690861432703467e-08	-4.3583081148853375e-07	0.24635439143794466
8.96838163519664e-06	-0.007410478049348704	-9.672553566689952e-08	-4.353989473168667e-07	0.24636514370017332
8.96935673397218e-06	-0.00741104107867808	-9.686842745041748e-08	-4.3564359037349685e-07	0.246365725389538
8.971760145512134e-06	-0.007412427808080964	-9.710868779711122e-08	-4.358745148316572e-07	0.2463114608366124
8.97096002600927e-06	-0.007411910735690728	-9.683036518966479e-08	-4.3527895550260165e-07	0.2464286221285985
8.97053651523265e-06	-0.007411769537284583	-9.680057349668848e-08	-4.3504531230919615e-07	0.24642165921851203
8.969254634315119e-06	-0.007410956128716524	-9.684182511276893e-08	-4.357017349662157e-07	0.2463462854136787
8.968962788794729e-06	-0.00741069742831397	-9.698715960952155e-08	-4.362935706682456e-07	0.24626683430355706
8.969504737425006e-06	-0.007411071157416395	-9.693371824233085e-08	-4.356576096785379e-07	0.24634586483312373
8.970598506160668e-06	-0.007411659110668682	-9.69774341119447e-08	-4.3577865654375137e-07	0.24634804790310583
8.970988590912625e-06	-0.007411904655991972	-9.695031911598078e-08	-4.359156018664494e-07	0.24633996817729617
